,iteration, 2MiB get time, recover pysical , sum getting time, former flip, later flip, sum flip, flip in page, form time, later time, searching time, entire time,dump
154,155,0.232578,6.67049,6.90307,19,0,4095,3827,11.6948,1.31e-07,11.694799869,2967.299229055999,101
155,156,0.234744,2.88535,3.1201,18,0,4113,3841,11.8253,1.17e-07,11.825299883,2982.244628938999,102
156,157,0.23359,4.70109,4.93468,21,0,4134,3858,10.5681,8.7e-08,10.568099913,2997.747408851999,103
157,158,0.234896,8.56934,8.80424,31,29,4194,3913,8.73603,7.13209,15.8681,3022.419748851999,103
158,159,0.2351,2.48765,2.72275,13,0,4207,3923,11.7735,1.15e-07,11.773599885,3036.916098736999,104
159,160,0.232903,6.92277,7.15568,11,0,4218,3933,11.9975,1.03e-07,11.997499897,3056.069278633999,105
160,161,0.232451,5.49771,5.73016,36,22,4276,3985,9.6276,6.1104,15.738,3077.537438633999,105
161,162,0.231601,5.89723,6.12883,16,0,4292,3999,10.4371,1.22e-07,10.437199878000001,3094.103468511999,106
162,163,0.233913,6.45082,6.68473,15,0,4307,4014,11.7979,1.09e-07,11.797899891,3112.586098402999,107
163,164,0.233872,7.63233,7.8662,15,0,4322,4027,11.4639,8.4e-08,11.463899916,3131.9161983189992,108
164,165,0.232291,6.13315,6.36544,17,0,4339,4041,11.9592,1.14e-07,11.959199885999999,3150.2408382049994,109
165,166,0.232269,3.47862,3.71089,34,13,4386,4083,8.97843,7.2417,16.2201,3170.171828204999,109
166,167,0.232985,6.37955,6.61253,33,18,4437,4125,8.6553,7.64683,16.3021,3193.0864582049994,109
167,168,0.233882,6.83536,7.06924,30,19,4486,4165,10.597,7.61606,18.2131,3218.3687982049996,109
168,169,0.235276,7.71012,7.9454,18,0,4504,4182,11.1269,1.24e-07,11.126899876,3237.441098081,110
169,170,0.235401,5.66858,5.90398,11,0,4515,4192,12.1563,1.05e-07,12.156299895,3255.5013779759997,111
170,171,0.226786,9.34539,9.57218,26,34,4575,4247,9.5951,7.71012,17.3052,3282.3787579759996,111
171,172,0.234461,4.57776,4.81222,38,25,4638,4298,8.51384,7.98088,16.4947,3303.6856779759996,111
172,173,0.236905,5.57789,5.81479,12,0,4650,4310,12.5022,9.7e-08,12.502199903000001,3322.0026678789995,112
173,174,0.235357,4.8153,5.05066,11,0,4661,4317,12.7778,1.15e-07,12.777799884999999,3339.8311277639996,113
174,175,0.235273,5.82413,6.0594,31,14,4706,4357,10.1631,7.02779,17.1909,3363.0814277639997,113
175,176,0.236475,5.54033,5.7768,14,0,4720,4369,12.198,8.8e-08,12.197999912,3381.0562276759997,114
176,177,0.239214,6.45539,6.6946,12,0,4732,4381,12.0489,1.02e-07,12.048899898,3399.799727574,115
177,178,0.239883,4.94004,5.17993,33,20,4785,4429,8.45953,6.7563,15.2159,3420.195557574,115
178,179,0.240554,8.10375,8.3443,15,0,4800,4443,11.1996,1.18e-07,11.199599882,3439.739457456,116
179,180,0.240263,5.33577,5.57603,18,0,4818,4459,12.2294,9.7e-08,12.229399903000001,3457.544887359,117
180,181,0.239752,4.54995,4.7897,32,12,4862,4499,9.41105,8.79727,18.2083,3480.542887359,117
181,182,0.240928,3.99469,4.23561,4,0,4866,4503,12.8434,1.4e-07,12.843399860000002,3497.621897219,118
182,183,0.242062,5.89327,6.13533,11,0,4877,4511,11.9076,1.98e-07,11.907599802,3515.664827021,119
183,184,0.241133,6.66557,6.9067,13,0,4890,4522,12.3868,1.54e-07,12.386799845999999,3534.958326867,120
184,185,0.240866,5.1836,5.42447,18,0,4908,4536,11.2201,9.4e-08,11.220099906,3551.602896773,121
185,186,0.243819,5.72408,5.9679,12,0,4920,4545,12.708,1.53e-07,12.707999847,3570.27879662,122
186,187,0.244197,8.50805,8.75224,13,0,4933,4558,11.8771,1.01e-07,11.877099899000001,3590.908136519,123
187,188,0.243748,4.699,4.94275,18,0,4951,4575,10.7363,1.15e-07,10.736299885,3606.587186404,124
188,189,0.243282,5.25699,5.50027,16,0,4967,4590,11.5765,1.51e-07,11.576599848999999,3623.664056253,125
189,190,0.24196,5.81711,6.05907,13,0,4980,4602,11.7293,1.18e-07,11.729299882,3641.452426135,126
190,191,0.245066,6.04177,6.28684,17,0,4997,4617,10.9145,1.17e-07,10.914499883,3658.653766018,127
191,192,0.244211,5.95806,6.20227,14,0,5011,4629,11.3987,1.18e-07,11.398699881999999,3676.2547359,128
192,193,0.242932,7.79597,8.0389,15,0,5026,4642,11.871,1.42e-07,11.871099858000001,3696.164735758,129
193,194,0.244709,2.9601,3.20481,10,0,5036,4649,12.6442,7.5e-08,12.644299924999999,3712.013845683,130
194,195,0.243238,7.38691,7.63015,24,0,5060,4672,9.4528,9.5e-08,9.45282,3729.096815683,131
195,196,0.244058,8.02239,8.26645,37,33,5130,4730,9.23571,6.5268,15.7625,3753.125765683,131
196,197,0.245945,6.1329,6.37884,14,0,5144,4742,11.7469,9.3e-08,11.746899907,3771.25150559,132
197,198,0.244648,6.7378,6.98245,13,0,5157,4755,12.6158,8.7e-08,12.615799913,3790.849755503,133
198,199,0.246573,5.29839,5.54496,19,0,5176,4770,11.0904,8.1e-08,11.090399919000001,3807.485115422,134
199,200,0.245593,3.50876,3.75435,32,10,5218,4806,10.1216,7.35977,17.4814,3828.720865422,134
200,201,0.244932,5.77487,6.0198,16,0,5234,4819,12.722,1.09e-07,12.721999891,3847.462665313,135
201,202,0.244567,6.97483,7.21939,7,0,5241,4825,12.2202,1.31e-07,12.220199869,3866.902255182,136
202,203,0.243929,4.00602,4.24995,15,0,5256,4838,12.3111,8e-08,12.31119992,3883.463405102,137
203,204,0.24721,5.76345,6.01066,32,17,5305,4879,9.26301,6.96778,16.2308,3905.704865102,137
204,205,0.24695,5.36669,5.61364,17,0,5322,4894,11.5842,1.11e-07,11.584199888999999,3922.902704991,138
205,206,0.247291,7.23971,7.487,33,25,5380,4944,9.59996,6.69249,16.2925,3946.682204991,138
206,207,0.247309,5.36315,5.61046,12,0,5392,4955,11.6468,1.6e-07,11.64689984,3963.939564831,139
207,208,0.246275,7.24031,7.48659,18,0,5410,4968,12.0875,1.34e-07,12.087499866,3983.513654697,140
208,209,0.245572,5.01685,5.26242,18,0,5428,4983,12.2375,1.04e-07,12.237499896000001,4001.013574593,141
209,210,0.247932,6.1976,6.44553,20,0,5448,4999,11.7539,1.33e-07,11.753899867,4019.2130044600003,142
210,211,0.247471,4.78291,5.03038,14,0,5462,5011,11.5426,1.26e-07,11.542699874,4035.7860843340004,143
211,212,0.247837,7.22795,7.47579,36,23,5521,5059,8.75634,7.47541,16.2318,4059.4936743340004,143
212,213,0.245653,6.99327,7.23893,11,0,5532,5070,12.0647,1.09e-07,12.064799891,4078.7974042250003,144
213,214,0.247286,4.86633,5.11362,17,0,5549,5084,11.5499,1.43e-07,11.549999857000001,4095.461024082,145
214,215,0.250237,6.75171,7.00195,34,28,5611,5139,10.4171,6.5438,16.9609,4119.423874082,145
215,216,0.249632,4.86524,5.11488,0,0,5611,5139,13.2069,1.07e-07,13.206899893,4137.745653975,146
216,217,0.248884,5.81771,6.06659,28,19,5658,5184,9.27867,6.92844,16.2071,4160.019343975,146
217,218,0.248724,2.87317,3.1219,37,15,5710,5226,8.72282,8.29523,17.0181,4180.159343975,146
218,219,0.251541,7.16197,7.41352,30,23,5763,5268,10.5259,7.83636,18.3623,4205.935163975,146
219,220,0.251019,5.40391,5.65493,17,0,5780,5285,10.7333,8.9e-08,10.733299911,4222.323393886,147
220,221,0.251107,8.6588,8.90991,12,0,5792,5294,12.1051,1.69e-07,12.105099831,4243.338403717,148
221,222,0.252,4.47091,4.72291,16,0,5808,5309,11.3422,1.07e-07,11.342199893,4259.40351361,149
222,223,0.250917,5.02106,5.27198,34,19,5861,5350,9.23624,7.75029,16.9865,4281.6619936100005,149
223,224,0.250272,2.3997,2.64997,9,0,5870,5358,11.8465,1.14e-07,11.846499886,4296.158463496001,150
224,225,0.251221,6.74471,6.99593,29,28,5927,5409,9.73581,7.69883,17.4347,4320.589093496001,150
225,226,0.252831,7.79505,8.04788,32,27,5986,5456,8.7371,8.26946,17.0066,4345.6435734960005,150
226,227,0.252759,9.39083,9.64359,14,0,6000,5468,10.5245,1.21e-07,10.524499879,4365.8116633750005,151
227,228,0.251803,4.62229,4.87409,42,14,6056,5518,9.25154,7.02891,16.2805,4386.966253375001,151
228,229,0.254029,4.29851,4.55254,44,15,6115,5566,9.23693,7.07413,16.3111,4407.829893375,151
229,230,0.252541,6.59142,6.84396,37,16,6168,5609,9.40429,6.90443,16.3087,4430.982553375,151
230,231,0.251428,5.02371,5.27514,12,0,6180,5616,11.5337,1.04e-07,11.533699896,4447.791393271,152
231,232,0.251285,5.40732,5.6586,37,15,6232,5657,8.95552,7.07021,16.0257,4469.475693271,152
232,233,0.250992,5.10166,5.35265,14,0,6246,5669,11.5876,1.26e-07,11.587599874,4486.415943145,153
233,234,0.25322,3.99425,4.24747,9,0,6255,5674,12.8417,1.41e-07,12.841699859,4503.505113004,154
234,235,0.254226,6.3644,6.61863,17,0,6272,5687,12.0534,1.46e-07,12.053399854,4522.1771428580005,155
235,236,0.252756,8.18283,8.43558,36,32,6340,5739,8.54611,7.92151,16.4676,4547.080322858001,155
236,237,0.253879,3.35273,3.6066,10,0,6350,5748,11.8513,1.2e-07,11.851299880000001,4562.5382227380005,156
237,238,0.254891,6.45156,6.70645,12,0,6362,5757,12.3704,1.09e-07,12.370399891,4581.615072629001,157
238,239,0.254823,6.27684,6.53166,34,16,6412,5802,8.74878,7.37423,16.123,4604.269732629001,157
239,240,0.254078,7.94481,8.19889,14,0,6426,5813,11.7061,1.45e-07,11.706099855,4624.174722484001,158
240,241,0.253821,2.47328,2.7271,23,0,6449,5834,9.69472,1.19e-07,9.694739881,4636.596562365001,159
241,242,0.256902,8.18346,8.44036,13,0,6462,5847,11.0519,1.42e-07,11.051899858,4656.0888222230005,160
242,243,0.256007,5.39993,5.65594,18,0,6480,5859,12.2431,1.23e-07,12.243099877,4673.987862100001,161
243,244,0.256691,4.54812,4.80481,29,16,6525,5899,9.94146,6.86371,16.8052,4695.597872100001,161
244,245,0.255072,4.86168,5.11675,15,0,6540,5914,12.3561,4.8e-08,12.356199951999999,4713.070822052001,162
