iteration, 2MiB get time, recover pysical , sum getting time, former flip, later flip, sum flip, flip in page, form time, later time, searching time, entire time,dump
195,0.243238,7.38691,7.63015,24,0,24,4672,9.4528,9.50E-08,9.45282,3923.99,131
196,0.244058,8.02239,8.26645,37,33,70,4730,9.23571,6.5268,15.7625,3949.02,131
197,0.245945,6.1329,6.37884,14,0,14,4742,11.7469,9.30E-08,11.7469,3968.15,132
198,0.244648,6.7378,6.98245,13,0,13,4755,12.6158,8.70E-08,12.6158,3988.75,133
199,0.246573,5.29839,5.54496,19,0,19,4770,11.0904,8.10E-08,11.0904,4006.39,134
200,0.245593,3.50876,3.75435,32,10,42,4806,10.1216,7.35977,17.4814,4028.63,134
201,0.244932,5.77487,6.0198,16,0,16,4819,12.722,1.09E-07,12.722,4048.38,135
202,0.244567,6.97483,7.21939,7,0,7,4825,12.2202,1.31E-07,12.2202,4068.82,136
203,0.243929,4.00602,4.24995,15,0,15,4838,12.3111,8.00E-08,12.3112,4086.39,137
204,0.24721,5.76345,6.01066,32,17,49,4879,9.26301,6.96778,16.2308,4109.63,137
205,0.24695,5.36669,5.61364,17,0,17,4894,11.5842,1.11E-07,11.5842,4127.84,138
206,0.247291,7.23971,7.487,33,25,58,4944,9.59996,6.69249,16.2925,4152.62,138
207,0.247309,5.36315,5.61046,12,0,12,4955,11.6468,1.60E-07,11.6469,4170.88,139
208,0.246275,7.24031,7.48659,18,0,18,4968,12.0875,1.34E-07,12.0875,4191.46,140
209,0.245572,5.01685,5.26242,18,0,18,4983,12.2375,1.04E-07,12.2375,4209.97,141
210,0.247932,6.1976,6.44553,20,0,20,4999,11.7539,1.33E-07,11.7539,4229.17,142
211,0.247471,4.78291,5.03038,14,0,14,5011,11.5426,1.26E-07,11.5427,4246.75,143
212,0.247837,7.22795,7.47579,36,23,59,5059,8.75634,7.47541,16.2318,4271.46,143
213,0.245653,6.99327,7.23893,11,0,11,5070,12.0647,1.09E-07,12.0648,4291.77,144
214,0.247286,4.86633,5.11362,17,0,17,5084,11.5499,1.43E-07,11.55,4309.44,145
215,0.250237,6.75171,7.00195,34,28,62,5139,10.4171,6.5438,16.9609,4334.4,145
216,0.249632,4.86524,5.11488,0,0,0,5139,13.2069,1.07E-07,13.2069,4353.73,146
217,0.248884,5.81771,6.06659,28,19,47,5184,9.27867,6.92844,16.2071,4377.01,146
218,0.248724,2.87317,3.1219,37,15,52,5226,8.72282,8.29523,17.0181,4398.15,146
219,0.251541,7.16197,7.41352,30,23,53,5268,10.5259,7.83636,18.3623,4424.93,146
220,0.251019,5.40391,5.65493,17,0,17,5285,10.7333,8.90E-08,10.7333,4442.32,147
221,0.251107,8.6588,8.90991,12,0,12,5294,12.1051,1.69E-07,12.1051,4464.34,148
222,0.252,4.47091,4.72291,16,0,16,5309,11.3422,1.07E-07,11.3422,4481.41,149
223,0.250917,5.02106,5.27198,34,19,53,5350,9.23624,7.75029,16.9865,4504.68,149
224,0.250272,2.3997,2.64997,9,0,9,5358,11.8465,1.14E-07,11.8465,4520.18,150
225,0.251221,6.74471,6.99593,29,28,57,5409,9.73581,7.69883,17.4347,4545.61,150
226,0.252831,7.79505,8.04788,32,27,59,5456,8.7371,8.26946,17.0066,4571.67,150
227,0.252759,9.39083,9.64359,14,0,14,5468,10.5245,1.21E-07,10.5245,4592.84,151
228,0.251803,4.62229,4.87409,42,14,56,5518,9.25154,7.02891,16.2805,4615,151
229,0.254029,4.29851,4.55254,44,15,59,5566,9.23693,7.07413,16.3111,4636.87,151
230,0.252541,6.59142,6.84396,37,16,53,5609,9.40429,6.90443,16.3087,4661.03,151
231,0.251428,5.02371,5.27514,12,0,12,5616,11.5337,1.04E-07,11.5337,4678.84,152
232,0.251285,5.40732,5.6586,37,15,52,5657,8.95552,7.07021,16.0257,4701.53,152
233,0.250992,5.10166,5.35265,14,0,14,5669,11.5876,1.26E-07,11.5876,4719.48,153
234,0.25322,3.99425,4.24747,9,0,9,5674,12.8417,1.41E-07,12.8417,4737.57,154
235,0.254226,6.3644,6.61863,17,0,17,5687,12.0534,1.46E-07,12.0534,4757.25,155
236,0.252756,8.18283,8.43558,36,32,68,5739,8.54611,7.92151,16.4676,4783.15,155
237,0.253879,3.35273,3.6066,10,0,10,5748,11.8513,1.20E-07,11.8513,4799.62,156
238,0.254891,6.45156,6.70645,12,0,12,5757,12.3704,1.09E-07,12.3704,4819.7,157
239,0.254823,6.27684,6.53166,34,16,50,5802,8.74878,7.37423,16.123,4843.36,157
240,0.254078,7.94481,8.19889,14,0,14,5813,11.7061,1.45E-07,11.7061,4864.27,158
241,0.253821,2.47328,2.7271,23,0,23,5834,9.69472,1.19E-07,9.69474,4877.69,159
242,0.256902,8.18346,8.44036,13,0,13,5847,11.0519,1.42E-07,11.0519,4898.19,160
