iteration, 2MiB get time, recover pysical , sum getting time, former flip, later flip, sum flip, flip in page, form time, later time, searching time, entire time,dump
210,0.0583907,5.36613,5.42452,19,5,24,6361,11.4538,9.98052,21.4344,6035.16,4
211,0.0589004,4.00591,4.06481,33,19,52,6399,9.79277,8.45634,18.2491,6058.48,4
212,0.0607389,6.24522,6.30596,17,8,25,6419,12.1211,9.69745,21.8186,6087.61,4
213,0.0613143,4.26587,4.32718,40,8,48,6458,10.6216,7.70128,18.3229,6111.27,4
214,0.0622317,7.70352,7.76576,19,9,28,6483,11.611,9.57167,21.1827,6141.22,4
215,0.0612683,8.40062,8.46189,39,28,67,6536,9.7284,9.05623,18.7846,6169.47,4
216,0.0623009,6.75008,6.81238,17,11,28,6559,12.0405,11.0657,23.1062,6200.39,4
217,0.0636998,6.67387,6.73757,38,17,55,6600,10.473,7.49724,17.9703,6226.11,4
218,0.0622662,8.92185,8.98412,18,4,22,6618,11.1932,11.1724,22.3655,6258.46,4
219,0.0615534,8.19344,8.25499,34,17,51,6659,10.2851,7.06969,17.3549,6285.07,4
220,0.0633492,3.76054,3.82389,14,3,17,6672,11.6399,10.9592,22.5991,6312.5,4
221,0.0638491,5.04786,5.11171,29,17,46,6709,10.003,7.50582,17.5088,6336.13,4
222,0.0617076,5.84722,5.90893,19,12,31,6732,11.275,10.3428,21.6178,6364.66,4
223,0.0645336,7.88339,7.94792,37,29,66,6781,9.57646,6.22306,15.7995,6389.41,4
224,0.064731,6.32774,6.39247,18,6,24,6801,12.1388,9.59079,21.7296,6418.54,4
225,0.0628196,4.31784,4.38066,33,16,49,6837,9.82255,8.51581,18.3384,6442.26,4
226,0.0620228,7.12623,7.18825,15,7,22,6857,12.0821,10.0413,22.1234,6472.58,4
227,0.0631794,3.94463,4.00781,30,12,42,6894,9.93954,9.03431,18.9739,6496.56,4
228,0.0638811,8.64376,8.70765,14,17,31,6916,11.0805,11.693,22.7736,6529.05,4
229,0.0626377,6.67683,6.73947,30,16,46,6952,9.43913,8.05658,17.4957,6554.29,4
230,0.0624249,8.26108,8.32351,9,4,13,6962,12.3995,11.7702,24.1697,6587.79,4
231,0.065025,4.49809,4.56312,23,9,32,6989,11.1074,8.78343,19.8909,6613.24,4
232,0.0643496,3.24093,3.30528,14,2,16,7003,11.9285,11.0781,23.0066,6640.56,4
233,0.0644465,6.67346,6.7379,27,10,37,7034,10.2834,8.34719,18.6306,6666.93,4
234,0.0672098,5.58696,5.65417,10,11,21,7051,12.1041,11.045,23.1491,6696.74,4
235,0.0646221,6.13077,6.1954,30,17,47,7090,9.4112,7.87441,17.2856,6721.23,4
236,0.0666094,6.45163,6.51824,11,4,15,7102,12.27,11.3712,23.6412,6752.39,4
237,0.0659646,4.96308,5.02904,26,14,40,7136,10.7488,8.0489,18.7977,6777.22,4
238,0.0671897,8.48441,8.5516,20,4,24,7155,11.4046,10.3976,21.8023,6808.58,4
239,0.0656899,7.08317,7.14886,29,22,51,7196,10.1065,8.44115,18.5477,6835.28,4
240,0.0682915,8.01145,8.07974,18,9,27,7212,11.5439,10.8969,22.4408,6866.81,4
241,0.0670307,8.09688,8.16391,44,33,77,7269,9.8951,6.91431,16.8094,6892.78,4
242,0.0666101,8.17351,8.24012,18,11,29,7291,10.797,10.939,21.7361,6923.76,4
243,0.0665332,1.67198,1.73851,44,4,48,7328,10.1073,8.90806,19.0154,6945.52,4
244,0.0677405,3.71233,3.78007,17,10,27,7345,11.7598,10.3159,22.0758,6972.38,4
245,0.067378,2.85598,2.92336,33,11,44,7380,8.80665,8.62064,17.4273,6993.74,4
246,0.0685446,5.13057,5.19912,16,5,21,7393,11.9998,11.1459,23.1457,7023.09,4
247,0.0675011,6.99068,7.05818,33,24,57,7436,9.6214,8.00129,17.6227,7048.77,4
248,0.0695929,8.62039,8.68998,17,11,28,7456,11.1217,11.6024,22.7241,7081.19,4
249,0.0681968,3.18232,3.25051,35,7,42,7485,10.1279,8.07833,18.2062,7103.65,4
250,0.0689661,3.34883,3.4178,18,6,24,7503,11.242,10.6699,21.9119,7129.99,4
251,0.0667979,6.58808,6.65488,34,22,56,7546,9.64397,7.4822,17.1262,7154.77,4
252,0.0705574,9.65713,9.72769,14,16,30,7570,11.6374,10.818,22.4554,7187.96,4
253,0.0683672,2.86904,2.93741,43,8,51,7609,10.075,7.83982,17.9148,7209.82,4
254,0.0701287,8.11926,8.18939,15,14,29,7628,12.2652,10.5848,22.85,7241.86,4
255,0.0707859,5.05156,5.12234,32,19,51,7667,8.82988,7.9613,16.7912,7264.78,4
256,0.0690523,8.68681,8.75587,15,7,22,7681,12.0973,11.4502,23.5475,7298.09,4
257,0.0724602,1.8037,1.87616,34,11,45,7717,9.53946,7.72118,17.2607,7318.23,4
258,0.069113,4.07636,4.14548,13,9,22,7736,12.437,10.0138,22.4508,7345.83,4
259,0.0709341,2.70893,2.77987,32,6,38,7761,9.94862,9.60797,19.5566,7369.17,4
260,0.0716605,7.15676,7.22842,11,7,18,7775,11.6169,11.5835,23.2004,7400.6,4
261,0.071467,3.67033,3.74179,33,11,44,7808,10.5706,7.98939,18.56,7423.91,4
262,0.071624,4.57298,4.6446,7,7,14,7819,12.6293,10.9339,23.5632,7453.12,4
263,0.0727078,7.06167,7.13437,17,9,26,7841,10.5965,9.64403,20.2405,7481.5,4
264,0.0730293,7.06183,7.13485,12,3,15,7851,12.2559,11.4687,23.7246,7513.37,4
265,0.0723622,6.24651,6.31888,22,12,34,7877,11.4238,8.67054,20.0944,7540.78,4
266,0.0716284,5.60784,5.67947,12,6,18,7891,12.0852,10.7504,22.8356,7570.3,4
267,0.0716093,4.40193,4.47354,32,13,45,7922,10.6281,7.55236,18.1805,7593.96,4
268,0.0741082,7.30908,7.38319,11,12,23,7941,11.7554,10.603,22.3584,7624.71,4
269,0.0713252,5.29221,5.36354,33,11,44,7968,10.9685,8.2206,19.1891,7650.26,4
270,0.0720568,10.1344,10.2065,15,12,27,7986,11.7669,10.346,22.1129,7683.59,4
271,0.072692,4.73154,4.80423,34,15,49,8017,10.3448,7.71024,18.055,7707.45,4
272,0.0732594,7.36308,7.43634,14,12,26,8035,11.906,11.3405,23.2465,7739.14,4
273,0.073414,3.431,3.50441,26,14,40,8067,9.24956,9.2372,18.4868,7762.14,4
274,0.072726,7.00228,7.075,12,15,27,8084,11.7712,10.8137,22.5849,7792.8,4
275,0.0742441,4.64655,4.72079,33,15,48,8120,10.1192,7.01762,17.1369,7815.66,4
276,0.0749461,5.60615,5.68109,11,10,21,8135,12.4191,9.92963,22.3487,7844.7,4
277,0.0736365,6.17184,6.24548,34,24,58,8181,8.92528,7.30014,16.2254,7868.17,4
278,0.0743761,9.83796,9.91233,12,14,26,8203,11.6949,10.7029,22.3978,7901.49,4
